rank,aptamer_id,top_cocaine_iptm_mean,top_cocaine_iptm_sd,top_morphine_iptm_mean,top_morphine_iptm_sd,seed_cocaine_iptm_mean,seed_cocaine_iptm_sd,seed_morphine_iptm_mean,seed_morphine_iptm_sd,top_cocaine_ptm_mean,top_cocaine_ptm_sd,top_morphine_ptm_mean,top_morphine_ptm_sd,seed_cocaine_ptm_mean,seed_cocaine_ptm_sd,seed_morphine_ptm_mean,seed_morphine_ptm_sd,seed_iptm_cocaine_over_morphine,seed_ptm_cocaine_minus_morphine
1,NC62,0.66750000,0.04496030,0.57500000,0.06164414,0.59630556,0.07064879,0.51094444,0.07931343,0.60500000,0.04898979,0.52125000,0.06812541,0.54802778,0.05855406,0.47388889,0.06793170,1.16706535,0.07413889
2,NC16,0.64125000,0.04998214,0.65625000,0.06864765,0.54102778,0.04454733,0.57513889,0.06350108,0.65625000,0.02326094,0.61125000,0.05303301,0.59800000,0.02105942,0.54908333,0.04998193,0.94069065,0.04891667
3,NC21357,0.61250000,0.15700318,0.45000000,0.12489996,0.52369444,0.15776816,0.38197222,0.11171660,0.55125000,0.12620137,0.50250000,0.10951190,0.49283333,0.11585820,0.44675000,0.08832112,1.37102756,0.04608333
4,NC35,0.59375000,0.06345696,0.56750000,0.07459414,0.52263889,0.06900272,0.50541667,0.09643647,0.61750000,0.02866058,0.55000000,0.08652002,0.56780556,0.03606548,0.50163889,0.09201165,1.03407530,0.06616667
5,NC101,0.60125000,0.09876921,0.57875000,0.14672009,0.49475000,0.14970626,0.45633333,0.14446344,0.56875000,0.08757650,0.55000000,0.10836446,0.49066667,0.11410265,0.46652778,0.10284009,1.08418554,0.02413889
